"Block_Nr","Block_Name","Step_Nr","Step_Name","Command","Sleep","Block","Step"
1,"Priming","01a","Initialize Syringe Pump","~Y10K200,50Y4R",0,"01 Priming","01a Initialize Syringe Pump"
1,"Priming","01d","Rinse Photometer Flow Cell rep1","o2V200A12000o10V400D480o9A0R",0,"01 Priming","01d Rinse Photometer Flow Cell rep1"
1,"Priming","01d","Rinse Photometer Flow Cell rep2","X",0,"01 Priming","01d Rinse Photometer Flow Cell rep2"
2,"Prepare Reagents","02a","Aspirate Reagents","V200o2P1680o5P4800o2P1680o4P1680o2P1680R",0,"02 Prepare Reagents","02a Aspirate Reagents"
2,"Prepare Reagents","02b","Mix Reagents rep1","V400o7A0V200o8P12000R",0,"02 Prepare Reagents","02b Mix Reagents rep1"
2,"Prepare Reagents","02b","Mix Reagents rep2","X",0,"02 Prepare Reagents","02b Mix Reagents rep2"
2,"Prepare Reagents","02b","Mix Reagents rep3","X",0,"02 Prepare Reagents","02b Mix Reagents rep3"
2,"Prepare Reagents","02c","Store oxidized ABTS in Mixing Chamber 1","V400o8A0R",0,"02 Prepare Reagents","02c Store oxidized ABTS in Mixing Chamber 1"
3,"Add DOM-free Blank","03a","Rinse Syringe rep1","o2V200P480o10V400A0R",0,"03 Add DOM-free Blank","03a Rinse Syringe rep1"
3,"Add DOM-free Blank","03a","Rinse Syringe rep2","X",0,"03 Add DOM-free Blank","03a Rinse Syringe rep2"
3,"Add DOM-free Blank","03a","Rinse Syringe rep3","X",0,"03 Add DOM-free Blank","03a Rinse Syringe rep3"
3,"Add DOM-free Blank","03a","Rinse Syringe rep4","X",0,"03 Add DOM-free Blank","03a Rinse Syringe rep4"
3,"Add DOM-free Blank","03a","Rinse Syringe rep5","X",0,"03 Add DOM-free Blank","03a Rinse Syringe rep5"
3,"Add DOM-free Blank","03b","Aspirate DOM-free Blank","V200o2P11520o9V400A7488V200o3P576o8P3456R",0,"03 Add DOM-free Blank","03b Aspirate DOM-free Blank"
3,"Add DOM-free Blank","03c","Mix Solution in Chamber 2 rep1","V400o11A0V200o12P12000R",0,"03 Add DOM-free Blank","03c Mix Solution in Chamber 2 rep1"
3,"Add DOM-free Blank","03c","Mix Solution in Chamber 2 rep2","X",0,"03 Add DOM-free Blank","03c Mix Solution in Chamber 2 rep2"
